시도시군구_Code,관서수
11010,23
11020,17
11030,10
11040,10
11050,12
11060,12
11070,9
11080,12
11090,9
11100,9
11110,9
11120,11
11130,9
11140,9
11150,9
11160,11
11170,9
11180,6
11190,11
11200,8
11210,10
11220,13
11230,16
11240,11
11250,10
21010,6
21020,5
21030,6
21040,5
21050,10
21060,7
21070,7
21080,6
21090,10
21100,7
21110,6
21120,10
21130,6
21140,4
21150,6
21310,6
22010,5
22020,10
22030,7
22040,6
22050,9
22060,9
22070,14
22310,12
23010,7
23020,3
23040,6
23050,12
23060,13
23070,6
23080,7
23090,10
23310,14
23320,6
24010,6
24020,8
24030,7
24040,10
24050,15
25010,6
25020,7
25030,11
25040,6
25050,6
26010,7
26020,7
26030,5
26040,6
26310,11
29010,11
31010,27
31020,24
31030,7
31040,12
31050,18
31060,6
31070,16
31080,6
31090,22
31100,18
31110,3
31120,5
31130,17
31140,5
31150,12
31160,4
31170,5
31180,6
31190,22
31200,14
31210,13
31220,11
31230,11
31240,17
31250,10
31260,10
31270,15
31280,11
31350,8
31370,7
31380,13
32010,12
32020,10
32030,8
32040,5
32050,6
32060,3
32070,9
32310,9
32320,7
32330,7
32340,6
32350,9
32360,4
32370,6
32380,6
32390,6
32400,5
32410,5
33020,10
33030,8
33040,24
33320,7
33330,8
33340,7
33350,6
33360,7
33370,8
33380,6
33390,1
34010,21
34020,10
34030,9
34040,12
34050,8
34060,7
34070,1
34080,9
34310,6
34330,10
34340,8
34350,7
34360,8
34370,7
34380,7
35010,22
35020,22
35030,20
35040,16
35050,12
35060,13
35310,12
35320,9
35330,8
35340,7
35350,7
35360,9
35370,10
35380,11
36010,12
36020,19
36030,17
36040,11
36060,9
36310,7
36320,8
36330,7
36350,13
36360,9
36370,9
36380,8
36390,8
36400,13
36410,7
36420,8
36430,8
36440,9
36450,8
36460,12
36470,8
36480,15
37010,29
37020,23
37030,15
37040,17
37050,17
37060,9
37070,13
37080,14
37090,9
37100,9
37310,6
37320,10
37330,8
37340,6
37350,7
37360,6
37370,6
37380,8
37390,8
37400,9
37410,7
37420,9
37430,5
38030,14
38050,9
38060,9
38070,14
38080,11
38090,9
38100,13
38110,39
38310,8
38320,8
38330,8
38340,8
38350,7
38360,10
38370,6
38380,8
38390,8
38400,8
39010,19
39020,10
