시도시군구_Code,경찰관수
11010,1111
11020,994
11030,690
11040,623
11050,717
11060,812
11070,749
11080,924
11090,660
11100,557
11110,796
11120,890
11130,670
11140,875
11150,750
11160,924
11170,727
11180,558
11190,995
11200,658
11210,904
11220,1074
11230,1491
11240,1040
11250,742
21010,317
21020,347
21030,402
21040,361
21050,851
21060,531
21070,526
21080,477
21090,717
21100,580
21110,507
21120,330
21130,463
21140,288
21150,514
21310,327
22010,410
22020,637
22030,458
22040,395
22050,779
22060,652
22070,987
22310,380
23010,325
23020,108
23040,459
23050,983
23060,949
23070,478
23080,735
23090,745
23310,214
23320,129
24010,369
24020,558
24030,366
24040,732
24050,589
25010,462
25020,460
25030,822
25040,465
25050,334
26010,395
26020,647
26030,325
26040,317
26310,386
29010,335
31010,1921
31020,1649
31030,767
31040,925
31050,1534
31060,493
31070,849
31080,231
31090,1336
31100,1417
31110,189
31120,377
31130,854
31140,352
31150,763
31160,406
31170,235
31180,296
31190,1094
31200,598
31210,391
31220,344
31230,523
31240,900
31250,457
31260,345
31270,377
31280,283
31350,172
31370,205
31380,275
32010,484
32020,572
32030,412
32040,230
32050,154
32060,160
32070,220
32310,195
32320,135
32330,144
32340,139
32350,161
32360,128
32370,105
32380,105
32390,123
32400,117
32410,136
33020,360
33030,259
33040,1274
33320,128
33330,138
33340,142
33350,167
33360,126
33370,222
33380,115
33390,46
34010,905
34020,249
34030,257
34040,431
34050,281
34060,268
34070,53
34080,273
34310,147
34330,195
34340,170
34350,133
34360,216
34370,185
34380,172
35010,1092
35020,544
35030,523
35040,323
35050,262
35060,249
35310,227
35320,130
35330,113
35340,106
35350,126
35360,121
35370,175
35380,181
36010,646
36020,526
36030,497
36040,268
36060,274
36310,139
36320,122
36330,119
36350,213
36360,152
36370,164
36380,143
36390,137
36400,215
36410,172
36420,204
36430,129
36440,157
36450,142
36460,160
36470,131
36480,92
37010,882
37020,499
37030,282
37040,367
37050,668
37060,227
37070,234
37080,243
37090,194
37100,417
37310,101
37320,177
37330,106
37340,86
37350,126
37360,124
37370,110
37380,135
37390,240
37400,138
37410,115
37420,147
37430,59
38030,526
38050,255
38060,231
38070,802
38080,228
38090,388
38100,440
38110,1685
38310,142
38320,161
38330,161
38340,160
38350,141
38360,153
38370,133
38380,136
38390,165
38400,163
39010,873
39020,370
