시도시군구_Code,남자인구수(A)
11010,"72,635"
11020,"61,222"
11030,"110,722"
11040,"143,387"
11050,"167,310"
11060,"169,769"
11070,"195,165"
11080,"210,810"
11090,"150,143"
11100,"158,620"
11110,"252,383"
11120,"230,279"
11130,"149,360"
11140,"175,150"
11150,"222,824"
11160,"280,034"
11170,"199,673"
11180,"117,226"
11190,"187,647"
11200,"189,152"
11210,"248,339"
11220,"203,359"
11230,"257,999"
11240,"322,299"
11250,"226,216"
21010,"20,282"
21020,"52,341"
21030,"43,509"
21040,"55,846"
21050,"173,920"
21060,"131,735"
21070,"131,037"
21080,"140,527"
21090,"193,618"
21100,"155,228"
21110,"113,595"
21120,"71,245"
21130,"100,700"
21140,"83,573"
21150,"107,405"
21310,"86,439"
22010,"36,799"
22020,"168,443"
22030,"85,572"
22040,"70,471"
22050,"219,197"
22060,"205,293"
22070,"275,626"
22310,"131,708"
23010,"72,485"
23020,"31,575"
23040,"192,570"
23050,"260,923"
23060,"244,713"
23070,"147,976"
23080,"273,778"
23090,"203,638"
23310,"34,644"
23320,"11,641"
24010,"50,810"
24020,"145,374"
24030,"103,257"
24040,"213,611"
24050,"204,296"
25010,"112,416"
25020,"116,233"
25030,"235,112"
25040,"177,240"
25050,"89,698"
26010,"110,201"
26020,"163,198"
26030,"81,999"
26040,"113,392"
26310,"114,918"
29010,"177,568"
31010,"597,076"
31020,"465,407"
31030,"227,342"
31040,"271,936"
31050,"406,023"
31060,"147,278"
31070,"277,617"
31080,"47,038"
31090,"335,804"
31100,"528,480"
31110,"31,068"
31120,"97,939"
31130,"355,197"
31140,"118,785"
31150,"261,730"
31160,"135,834"
31170,"81,470"
31180,"147,424"
31190,"532,847"
31200,"236,049"
31210,"112,947"
31220,"96,355"
31230,"237,507"
31240,"443,841"
31250,"195,298"
31260,"116,916"
31270,"77,905"
31280,"56,838"
31350,"22,799"
31370,"32,156"
31380,"59,563"
32010,"139,576"
32020,"175,939"
32030,"105,794"
32040,"45,991"
32050,"21,640"
32060,"40,965"
32070,"33,011"
32310,"35,663"
32320,"23,822"
32330,"19,986"
32340,"21,321"
32350,"19,174"
32360,"23,216"
32370,"13,472"
32380,"11,829"
32390,"17,084"
32400,"13,802"
32410,"14,220"
33020,"106,273"
33030,"66,705"
33040,"425,848"
33320,"16,292"
33330,"25,489"
33340,"23,624"
33350,"43,836"
33360,"20,225"
33370,"49,388"
33380,"14,782"
33390,"19,129"
34010,"336,221"
34020,"52,297"
34030,"50,807"
34040,"164,115"
34050,"91,399"
34060,"58,316"
34070,"21,343"
34080,"88,206"
34310,"25,928"
34330,"32,374"
34340,"25,614"
34350,"15,691"
34360,"49,796"
34370,"39,156"
34380,"31,371"
35010,"323,542"
35020,"135,332"
35030,"140,573"
35040,"53,791"
35050,"39,560"
35060,"40,844"
35310,"47,077"
35320,"12,832"
35330,"11,959"
35340,"11,000"
35350,"13,966"
35360,"13,520"
35370,"26,964"
35380,"25,914"
36010,"111,578"
36020,"142,995"
36030,"140,772"
36040,"58,194"
36060,"79,144"
36310,"23,502"
36320,"13,707"
36330,"12,519"
36350,"31,051"
36360,"19,719"
36370,"30,906"
36380,"18,381"
36390,"16,715"
36400,"33,975"
36410,"27,595"
36420,"43,254"
36430,"16,062"
36440,"26,468"
36450,"22,781"
36460,"25,099"
36470,"15,429"
36480,"20,769"
37010,"254,222"
37020,"126,911"
37030,"70,525"
37040,"78,661"
37050,"213,720"
37060,"51,070"
37070,"51,812"
37080,"47,634"
37090,"35,000"
37100,"132,805"
37310,"11,892"
37320,"25,265"
37330,"12,482"
37340,"8,263"
37350,"17,197"
37360,"20,775"
37370,"16,074"
37380,"22,473"
37390,"59,828"
37400,"27,352"
37410,"15,853"
37420,"24,441"
37430,"4,956"
38030,"172,107"
38050,"64,502"
38060,"56,010"
38070,"274,313"
38080,"51,356"
38090,"128,978"
38100,"176,641"
38110,"525,278"
38310,"13,140"
38320,"32,561"
38330,"30,452"
38340,"25,760"
38350,"20,707"
38360,"22,364"
38370,"17,110"
38380,"18,853"
38390,"30,082"
38400,"21,209"
39010,"246,588"
39020,"92,021"
