시도시군구_Code,주거지역(㎡),상업지역(㎡),공업지역(㎡),녹지지역(㎡),미지정지역(㎡)
11010,"9,830,838",2937285,0,11204384,0
11020,"6,037,439",3911718,0,25135,0
11030,"11,337,245",1557493,0,8975262,0
11040,"9,947,485",473145,2051234,4332406,0
11050,"11,598,584",201658,0,5274873,0
11060,"13,039,923",828159,0,383081,0
11070,"10,821,733",357606,0,7352187,0
11080,"17,791,331",397229,0,6432862,0
11090,"10,979,002",272237,0,12384780,0
11100,"8,710,578",267953,1473803,10387632,0
11110,"13,929,759",590480,0,21026587,0
11120,"15,376,440",510002,0,13902080,0
11130,"15,439,244",283546,0,1963055,0
11140,"13,383,946",940109,0,9559911,0
11150,"12,536,636",796830,92872,4043275,0
11160,"14,718,309",1324125,2920235,22500605,0
11170,"10,269,448",513589,4195729,5157562,0
11180,"5,845,488",149622,4121945,2895630,0
11190,"8,013,840",2607260,5024926,8708804,0
11200,"13,790,984",344623,0,2252275,0
11210,"15,322,132",395303,0,13846047,0
11220,"18,892,364",1320064,0,26687459,0
11230,"24,188,974",1677285,0,13631009,0
11240,"20,962,824",2363811,0,10530667,0
11250,"12,965,432",680697,0,10910074,0
21010,"895,634",1883211,191057,393204,1103840
21020,"4,382,073",1103317,872926,8012630,14991826
21030,"2,521,908",2495193,1721887,3090992,1763325
21040,"4,813,394",797831,1811599,7603070,41139788
21050,"11,070,225",4841137,0,13755174,0
21060,"9,460,208",1159033,154027,5924309,0
21070,"9,862,370",1039727,4701328,12861218,14042618
21080,"9,607,145",607050,0,29219843,0
21090,"12,185,714",3187779,615070,38161371,915478
21100,"10,454,372",649227,9629505,21325386,26323345
21110,"9,866,022",713518,1046404,53553831,0
21120,"20,035,590",4424397,28317265,131405798,54271332
21130,"7,676,869",769237,63487,3584962,0
21140,"6,599,905",749337,116781,3590363,3028365
21150,"8,163,480",480131,6589380,20873283,0
21310,"17,248,634",1114395,8606021,191356186,3238718
22010,"3,377,140",3121126,0,556776,0
22020,"20,845,725",3695297,979024,121321959,0
22030,"7,624,438",1294895,4084803,4315836,0
22040,"8,105,365",1045866,0,8280012,0
22050,"20,145,891",3513338,5010582,65315591,0
22060,"18,773,250",1992468,0,55771193,0
22070,"20,886,684",2442133,11402022,27609203,0
22310,"21,748,914",1351497,19734128,334953859,0
23010,"12,301,453",5958158,13240175,109626864,99893
23020,"2,403,369",455967,3903311,831254,2035
23040,"22,524,740",5001693,7784487,30659269,7317304
23050,"16,158,040",2010252,10303997,28461739,11723779
23060,"14,552,110",1918831,5018929,10504730,0
23070,"9,991,823",644263,1409498,33503840,0
23080,"26,364,254",4323494,19205411,61426897,285826
23090,"14,623,448",3195052,2604158,4417731,0
23310,"1,949,300",201300,538115,14558900,59000
23320,"9,155",0,3571000,0,4005815
24010,"8,751,147",1844005,0,38717212,0
24020,"15,525,757",1973459,2426906,27821999,0
24030,"14,004,138",448529,1933000,44469584,0
24040,"23,163,322",2646608,4493590,89998680,0
24050,"26,279,817",2156960,16753199,156673814,0
25010,"12,554,919",1537556,496342,104145333,0
25020,"12,451,546",1866069,0,41367714,0
25030,"19,733,845",2246663,940029,51971937,0
25040,"16,088,279",2751896,6830427,152131217,0
25050,"9,993,531",484483,8815430,49716674,0
26010,"12,332,852",1566662,0,23164227,0
26020,"14,280,891",2604188,28481342,28319105,5829
26030,"6,142,199",796641,7030186,22335863,46833
26040,"13,003,612",1068072,11030869,95498510,1557
26310,"22,244,285",1642994,35901281,352717782,81516113
29010,"29,681,236",5239209,8805606,97277636,1491795
31010,"45,420,018",6286111,4118245,65312494,0
31020,"30,831,545",5238153,1744254,103907864,99082
31030,"16,153,844",1663244,368210,63413082,0
31040,"15,148,040",2211453,3229625,37890936,0
31050,"23,485,318",3418450,4536795,22009438,0
31060,"9,362,939",1731719,696894,26714921,0
31070,"40,662,425",6138506,30077493,74036875,37691
31080,"5,820,523",1042487,1263028,25439773,0
