시도시군구_Code,시군구별발생건수
11010,2910
11020,3225
11030,2739
11040,2247
11050,3346
11060,3240
11070,3543
11080,2425
11090,2611
11100,2097
11110,3574
11120,3219
11130,2374
11140,3340
11150,3107
11160,4150
11170,3978
11180,2481
11190,4902
11200,2974
11210,4858
11220,4205
11230,6648
11240,5123
11250,3600
21010,1331
21020,1041
21030,1379
21040,981
21050,5494
21060,2350
21070,2265
21080,2474
21090,3061
21100,2487
21110,1926
21120,965
21130,2302
21140,1507
21150,2401
21310,1329
22010,2351
22020,2924
22030,2337
22040,1616
22050,3602
22060,2429
22070,4444
22310,1301
23010,1348
23020,449
23040,2403
23050,4711
23060,6100
23070,2497
23080,4234
23090,4139
23310,430
23320,539
24010,1404
24020,2905
24030,1521
24040,3368
24050,3141
25010,2396
25020,2638
25030,4558
25040,2197
25050,1764
26010,2479
26020,2986
26030,1603
26040,123
26310,1441
29010,1760
31010,11934
31020,7293
31030,4617
31040,4589
31050,8692
31060,2749
31070,6197
31080,878
31090,7866
31100,6510
31110,275
31120,1700
31130,3860
31140,2236
31150,4816
31160,1719
31170,701
31180,1956
31190,5902
31200,2934
31210,2145
31220,2063
31230,3059
31240,5867
31250,2700
31260,1742
31270,1283
31280,1101
31350,297
31370,537
31380,950
32010,2286
32020,2788
32030,1933
32040,657
32050,321
32060,590
32070,520
32310,545
32320,258
32330,225
32340,287
32350,316
32360,200
32370,154
32380,117
32390,119
32400,186
32410,687
33020,1668
33030,1003
33040,7716
33320,215
33330,286
33340,266
33350,703
33360,553
33370,836
33380,227
33390,207
34010,5906
34020,744
34030,798
34040,3096
34050,1511
34060,879
34070,219
34080,1299
34310,299
34330,450
34340,315
34350,149
34360,683
34370,591
34380,427
35010,5288
35020,2532
35030,2497
35040,903
35050,559
35060,640
35310,508
35320,104
35330,125
35340,97
35350,109
35360,145
35370,396
35380,348
36010,2425
36020,2342
36030,2392
36040,882
36060,1142
36310,265
36320,131
36330,180
36350,471
36360,249
36370,363
36380,354
36390,308
36400,483
36410,477
36420,572
36430,212
36440,383
36450,259
36460,468
36470,252
36480,404
37010,4353
37020,1995
37030,1309
37040,1526
37050,3592
37060,644
37070,924
37080,712
37090,472
37100,2380
37310,132
37320,322
37330,237
37340,117
37350,355
37360,293
37370,197
37380,283
37390,863
37400,295
37410,156
37420,312
37430,40
38030,3956
38050,1385
38060,1065
38070,5222
38080,794
38090,2310
38100,3010
38110,9136
38310,170
38320,333
38330,291
38340,476
38350,208
38360,222
38370,175
38380,185
38390,387
38400,239
39010,5462
39020,3277
