시도시군구_Code,외국인수(명)
11010,24201
11020,24248
11030,36413
11040,23580
11050,42903
11060,41102
11070,17564
11080,29595
11090,12611
11100,8048
11110,13537
11120,15622
11130,30516
11140,27535
11150,14666
11160,22005
11170,100542
11180,59776
11190,101558
11200,34619
11210,53119
11220,16785
11230,20672
11240,23866
11250,15814
21010,4655
21020,5126
21030,5239
21040,5094
21050,7841
21060,3587
21070,14894
21080,7396
21090,11332
21100,12851
21110,10396
21120,13124
21130,2896
21140,4143
21150,13475
21310,6050
22010,1866
22020,6384
22030,7705
22040,4333
22050,15052
22060,5434
22070,29282
22310,18242
23010,12174
23020,3033
23040,39888
23050,39096
23060,51819
23070,11849
23080,39572
23090,29578
23310,2877
23320,721
24010,4904
24020,6007
24030,5191
24040,15105
24050,40081
25010,12874
25020,5632
25030,11204
25040,17671
25050,7849
26010,7319
26020,15184
26030,10560
26040,8401
26310,21427
29010,16626
31010,121998
31020,57307
31030,16533
31040,25104
31050,90362
31060,18024
31070,72537
31080,9990
31090,173290
31100,43019
31110,954
31120,5120
31130,25692
31140,35966
31150,114884
31160,23608
31170,4071
31180,8575
31190,58092
31200,34946
31210,22636
31220,37523
31230,59596
31240,118655
31250,39879
31260,22333
31270,37153
31280,11310
31350,3031
31370,3710
31380,5461
32010,12433
32020,11912
32030,7614
32040,2992
32050,1041
32060,3398
32070,2411
32310,3276
32320,2473
32330,1153
32340,1702
32350,1268
32360,2347
32370,881
32380,961
32390,1130
32400,3228
32410,1089
33020,16666
33030,5704
33040,45400
33320,2048
33330,2730
33340,2712
33350,19309
33360,3177
33370,28618
33380,868
33390,2924
34010,63211
34020,6984
34030,8934
34040,59503
34050,14225
34060,13020
34070,806
34080,18571
34310,6932
34330,4206
34340,4110
34350,2246
34360,8118
34370,7277
34380,4446
35010,26940
35020,18331
35030,16141
35040,9049
35050,3786
35060,6356
35310,9995
35320,1403
35330,979
35340,1483
35350,1357
35360,1518
35370,3422
35380,2915
36010,10491
36020,14593
36030,7641
36040,8910
36060,6095
36310,3313
36320,1779
36330,1007
36350,3658
36360,1831
36370,3303
36380,2098
36390,1779
36400,4896
36410,13002
36420,5230
36430,2384
36440,3238
36450,3597
36460,6418
36470,4318
36480,2579
37010,19607
37020,34123
37030,7677
37040,5160
37050,16198
37060,3603
37070,9361
37080,3910
37090,2794
37100,30343
37310,1594
37320,2161
37330,910
37340,844
37350,2975
37360,3216
37370,4728
37380,4789
37390,10789
37400,2332
37410,1372
37420,4101
37430,525
38030,15536
38050,11552
38060,9308
38070,54989
38080,8767
38090,21327
38100,19820
38110,45994
38310,2237
38320,9479
38330,7618
38340,3914
38350,2574
38360,1926
38370,2121
38380,1741
38390,2116
38400,2090
39010,41149
39020,19464
